2019-01-09 11:19:22:615 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 12013 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 11:19:22:619 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 11:19:25:083 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 2.707 seconds (JVM running for 3.061)
2019-01-09 11:20:00:585 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 12102 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 11:20:00:589 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 11:20:03:020 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 2.685 seconds (JVM running for 3.055)
2019-01-09 14:47:25:760 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 15503 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 14:47:25:770 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 14:47:28:196 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 2.683 seconds (JVM running for 3.068)
2019-01-09 14:50:52:561 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 15965 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 14:50:52:565 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 14:50:55:123 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 2.822 seconds (JVM running for 3.203)
2019-01-09 14:52:38:604 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 16115 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 14:52:38:608 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 14:52:41:114 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 2.754 seconds (JVM running for 3.13)
2019-01-09 15:26:37:038 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 17382 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 15:26:37:041 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 15:26:39:532 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 2.752 seconds (JVM running for 3.165)
